count;date
33141;1/1/2014
58431;2/1/2014
61279;3/1/2014
45714;4/1/2014
46093;5/1/2014
63649;6/1/2014
72053;7/1/2014
72890;8/1/2014
72184;9/1/2014
66945;10/1/2014
45708;11/1/2014
46602;12/1/2014
70765;13/1/2014
73698;14/1/2014
75700;15/1/2014
75647;16/1/2014
68321;17/1/2014
47194;18/1/2014
48995;19/1/2014
69067;20/1/2014
75391;21/1/2014
74891;22/1/2014
75244;23/1/2014
69886;24/1/2014
52319;25/1/2014
52613;26/1/2014
73179;27/1/2014
83405;28/1/2014
87604;29/1/2014
76269;30/1/2014
78407;31/1/2014
47775;1/2/2014
48820;2/2/2014
69589;3/2/2014
75667;4/2/2014
79016;5/2/2014
77768;6/2/2014
74840;7/2/2014
51856;8/2/2014
58192;9/2/2014
80235;10/2/2014
82280;11/2/2014
81802;12/2/2014
80355;13/2/2014
81109;14/2/2014
50570;15/2/2014
54171;16/2/2014
77241;17/2/2014
83227;18/2/2014
82576;19/2/2014
81266;20/2/2014
78106;21/2/2014
54304;22/2/2014
55262;23/2/2014
79560;24/2/2014
81076;25/2/2014
81986;26/2/2014
82902;27/2/2014
80185;28/2/2014
51000;1/3/2014
54392;2/3/2014
82081;3/3/2014
86868;4/3/2014
85538;5/3/2014
82824;6/3/2014
82701;7/3/2014
53167;8/3/2014
50080;9/3/2014
79565;10/3/2014
82281;11/3/2014
83926;12/3/2014
84716;13/3/2014
79241;14/3/2014
56131;15/3/2014
53750;16/3/2014
84085;17/3/2014
85357;18/3/2014
83107;19/3/2014
86074;20/3/2014
79500;21/3/2014
51129;22/3/2014
54833;23/3/2014
84173;24/3/2014
85000;25/3/2014
86340;26/3/2014
86898;27/3/2014
80277;28/3/2014
50457;29/3/2014
52595;30/3/2014
79376;31/3/2014
82207;1/4/2014
83007;2/4/2014
83787;3/4/2014
80959;4/4/2014
48946;5/4/2014
52603;6/4/2014
81374;7/4/2014
83969;8/4/2014
83513;9/4/2014
82168;10/4/2014
77513;11/4/2014
52162;12/4/2014
54727;13/4/2014
84878;14/4/2014
85693;15/4/2014
88995;16/4/2014
83011;17/4/2014
69931;18/4/2014
49288;19/4/2014
47626;20/4/2014
71473;21/4/2014
88700;22/4/2014
86509;23/4/2014
86192;24/4/2014
79112;25/4/2014
53704;26/4/2014
57599;27/4/2014
82598;28/4/2014
84950;29/4/2014
91623;30/4/2014
76593;1/5/2014
73796;2/5/2014
49059;3/5/2014
54171;4/5/2014
78452;5/5/2014
87092;6/5/2014
86864;7/5/2014
84587;8/5/2014
79549;9/5/2014
52260;10/5/2014
53344;11/5/2014
81698;12/5/2014
88280;13/5/2014
87042;14/5/2014
87837;15/5/2014
80848;16/5/2014
52942;17/5/2014
54021;18/5/2014
84915;19/5/2014
92939;20/5/2014
90349;21/5/2014
85586;22/5/2014
82816;23/5/2014
48954;24/5/2014
52490;25/5/2014
76900;26/5/2014
87448;27/5/2014
