cambio;fecha
6,925;07.06.2018
6,935;06.06.2018
6,935;05.06.2018
6,935;04.06.2018
6,935;01.06.2018
6,920;31.05.2018
6,935;30.05.2018
6,925;29.05.2018
6,935;28.05.2018
6,925;25.05.2018
6,935;24.05.2018
6,925;23.05.2018
6,935;22.05.2018
6,935;21.05.2018
6,935;18.05.2018
6,93;17.05.2018
6,935;16.05.2018
6,935;15.05.2018
6,935;14.05.2018
6,925;11.05.2018
6,935;10.05.2018
6,935;09.05.2018
6,935;08.05.2018
6,935;07.05.2018
6,935;04.05.2018
6,935;03.05.2018
6,935;02.05.2018
6,935;01.05.2018
6,935;30.04.2018
6,935;27.04.2018
6,925;26.04.2018
6,935;25.04.2018
6,935;24.04.2018
6,935;23.04.2018
6,935;20.04.2018
6,925;19.04.2018
6,935;18.04.2018
6,935;17.04.2018
6,935;16.04.2018
6,935;13.04.2018
6,925;12.04.2018
6,935;11.04.2018
6,925;10.04.2018
6,935;09.04.2018
6,935;06.04.2018
6,93;05.04.2018
6,935;04.04.2018
6,925;03.04.2018
6,935;02.04.2018
6,935;30.03.2018
6,935;29.03.2018
6,935;28.03.2018
6,935;27.03.2018
6,935;26.03.2018
6,925;23.03.2018
6,935;22.03.2018
6,925;21.03.2018
6,925;20.03.2018
6,935;19.03.2018
6,935;16.03.2018
6,925;15.03.2018
6,935;14.03.2018
6,935;13.03.2018
6,935;12.03.2018
6,935;09.03.2018
6,925;08.03.2018
6,935;07.03.2018
7;06.03.2018
7;05.03.2018
7;02.03.2018
7;01.03.2018
7;28.02.2018
6,935;27.02.2018
6,935;26.02.2018
7;23.02.2018
7;22.02.2018
7;21.02.2018
7;20.02.2018
7;19.02.2018
6,935;16.02.2018
6,935;15.02.2018
7;14.02.2018
7;13.02.2018
7;12.02.2018
7;09.02.2018
7;08.02.2018
6,935;07.02.2018
6,925;06.02.2018
7;05.02.2018
7;02.02.2018
7;01.02.2018
6,935;31.01.2018
6,935;30.01.2018
6,925;29.01.2018
6,935;26.01.2018
6,935;25.01.2018
6,935;24.01.2018
6,93;23.01.2018
6,935;22.01.2018
6,935;19.01.2018
6,935;18.01.2018
6,93;17.01.2018
6,935;16.01.2018
6,935;15.01.2018
6,935;12.01.2018
6,935;11.01.2018
6,935;10.01.2018
6,935;09.01.2018
6,935;08.01.2018
6,935;05.01.2018
6,935;04.01.2018
6,935;03.01.2018
6,935;02.01.2018
6,935;01.01.2018
6,935;29.12.2017
6,935;28.12.2017
6,935;27.12.2017
6,935;26.12.2017
6,935;25.12.2017
6,935;22.12.2017
6,93;21.12.2017
6,935;20.12.2017
6,935;19.12.2017
6,93;18.12.2017
6,935;15.12.2017
6,935;14.12.2017
6,935;13.12.2017
6,935;12.12.2017
6,935;11.12.2017
6,935;08.12.2017
6,935;07.12.2017
6,965;06.12.2017
6,935;05.12.2017
6,935;04.12.2017
6,935;01.12.2017
6,925;30.11.2017
6,965;29.11.2017
6,935;28.11.2017
6,935;27.11.2017
6,935;24.11.2017
6,965;23.11.2017
6,965;22.11.2017
6,965;21.11.2017
6,935;20.11.2017
6,935;17.11.2017
6,935;16.11.2017
6,97;15.11.2017
6,965;14.11.2017
6,93;13.11.2017
6,935;10.11.2017
6,93;09.11.2017
6,935;08.11.2017
6,93;07.11.2017
6,935;06.11.2017
6,935;03.11.2017
6,925;02.11.2017
6,935;01.11.2017
6,925;31.10.2017
6,925;30.10.2017
6,935;27.10.2017
6,935;26.10.2017
6,925;25.10.2017
6,94;24.10.2017
6,935;23.10.2017
6,935;20.10.2017
6,925;19.10.2017
6,935;18.10.2017
6,93;17.10.2017
6,935;16.10.2017
6,93;13.10.2017
6,935;12.10.2017
6,935;11.10.2017
6,925;10.10.2017
6,935;09.10.2017
6,925;06.10.2017
6,935;05.10.2017
6,93;04.10.2017
6,945;03.10.2017
6,935;02.10.2017
6,945;29.09.2017
6,965;28.09.2017
6,965;27.09.2017
6,955;26.09.2017
6,965;25.09.2017
6,965;22.09.2017
6,975;21.09.2017
6,975;20.09.2017
6,975;19.09.2017
6,965;18.09.2017
6,965;15.09.2017
6,965;14.09.2017
6,965;13.09.2017
6,965;12.09.2017
6,965;11.09.2017
6,975;08.09.2017
6,965;07.09.2017
6,965;06.09.2017
6,97;05.09.2017
6,975;04.09.2017
6,975;01.09.2017
6,965;31.08.2017
6,97;30.08.2017
6,975;29.08.2017
6,975;28.08.2017
6,97;25.08.2017
6,975;24.08.2017
