cambio,fecha
6925,07/06/2018
6935,06/06/2018
6935,05/06/2018
6935,04/06/2018
6935,01/06/2018
6920,31/05/2018
6935,30/05/2018
6925,29/05/2018
6935,28/05/2018
6925,25/05/2018
6935,24/05/2018
6925,23/05/2018
6935,22/05/2018
6935,21/05/2018
6935,18/05/2018
6930,17/05/2018
6935,16/05/2018
6935,15/05/2018
6935,14/05/2018
6925,11/05/2018
6935,10/05/2018
6935,09/05/2018
6935,08/05/2018
6935,07/05/2018
6935,04/05/2018
6935,03/05/2018
6935,02/05/2018
6935,01/05/2018
6935,30/04/2018
6935,27/04/2018
6925,26/04/2018
6935,25/04/2018
6935,24/04/2018
6935,23/04/2018
6935,20/04/2018
6925,19/04/2018
6935,18/04/2018
6935,17/04/2018
6935,16/04/2018
6935,13/04/2018
6925,12/04/2018
6935,11/04/2018
6925,10/04/2018
6935,09/04/2018
6935,06/04/2018
6930,05/04/2018
6935,04/04/2018
6925,03/04/2018
6935,02/04/2018
6935,30/03/2018
6935,29/03/2018
6935,28/03/2018
6935,27/03/2018
6935,26/03/2018
6925,23/03/2018
6935,22/03/2018
6925,21/03/2018
6925,20/03/2018
6935,19/03/2018
6935,16/03/2018
6925,15/03/2018
6935,14/03/2018
6935,13/03/2018
6935,12/03/2018
6935,09/03/2018
6925,08/03/2018
6935,07/03/2018
6935,06/03/2018
6925,05/03/2018
6925,02/03/2018
6935,01/03/2018
6935,28/02/2018
6935,27/02/2018
6935,26/02/2018
6935,23/02/2018
6930,22/02/2018
6935,21/02/2018
6935,20/02/2018
6935,19/02/2018
6935,16/02/2018
6935,15/02/2018
6935,14/02/2018
6935,13/02/2018
6935,12/02/2018
6935,09/02/2018
6935,08/02/2018
6935,07/02/2018
6925,06/02/2018
6935,05/02/2018
6935,02/02/2018
6935,01/02/2018
6935,31/01/2018
6935,30/01/2018
6925,29/01/2018
6935,26/01/2018
6935,25/01/2018
6935,24/01/2018
6930,23/01/2018
6935,22/01/2018
6935,19/01/2018
6935,18/01/2018
6930,17/01/2018
6935,16/01/2018
6935,15/01/2018
6935,12/01/2018
6935,11/01/2018
6935,10/01/2018
6935,09/01/2018
6935,08/01/2018
6935,05/01/2018
6935,04/01/2018
6935,03/01/2018
6935,02/01/2018
6935,01/01/2018
6935,29/12/2017
6935,28/12/2017
6935,27/12/2017
6935,26/12/2017
6935,25/12/2017
6935,22/12/2017
6930,21/12/2017
6935,20/12/2017
6935,19/12/2017
6930,18/12/2017
6935,15/12/2017
6935,14/12/2017
6935,13/12/2017
6935,12/12/2017
6935,11/12/2017
6935,08/12/2017
6935,07/12/2017
6965,06/12/2017
6935,05/12/2017
6935,04/12/2017
6935,01/12/2017
6925,30/11/2017
6965,29/11/2017
6935,28/11/2017
6935,27/11/2017
6935,24/11/2017
6965,23/11/2017
6965,22/11/2017
6965,21/11/2017
6935,20/11/2017
6935,17/11/2017
6935,16/11/2017
6970,15/11/2017
6965,14/11/2017
6930,13/11/2017
6935,10/11/2017
6930,09/11/2017
6935,08/11/2017
6930,07/11/2017
6935,06/11/2017
6935,03/11/2017
6925,02/11/2017
6935,01/11/2017
6925,31/10/2017
6925,30/10/2017
6935,27/10/2017
6935,26/10/2017
6925,25/10/2017
6940,24/10/2017
6935,23/10/2017
6935,20/10/2017
6925,19/10/2017
6935,18/10/2017
6930,17/10/2017
6935,16/10/2017
6930,13/10/2017
6935,12/10/2017
6935,11/10/2017
6925,10/10/2017
6935,09/10/2017
6925,06/10/2017
6935,05/10/2017
6930,04/10/2017
6945,03/10/2017
6935,02/10/2017
6945,29/09/2017
6965,28/09/2017
6965,27/09/2017
6955,26/09/2017
6965,25/09/2017
6965,22/09/2017
6975,21/09/2017
6975,20/09/2017
6975,19/09/2017
6965,18/09/2017
6965,15/09/2017
6965,14/09/2017
6965,13/09/2017
6965,12/09/2017
6965,11/09/2017
6975,08/09/2017
6965,07/09/2017
6965,06/09/2017
6970,05/09/2017
6975,04/09/2017
6975,01/09/2017
6965,31/08/2017
6970,30/08/2017
6975,29/08/2017
6975,28/08/2017
6970,25/08/2017
6975,24/08/2017
6965,23/08/2017
6965,22/08/2017
6970,21/08/2017
6965,18/08/2017
6965,17/08/2017
6965,16/08/2017
6975,15/08/2017
6970,14/08/2017
6975,11/08/2017
6965,10/08/2017
6955,09/08/2017
6960,08/08/2017
6975,07/08/2017
6975,04/08/2017
6970,03/08/2017
6975,02/08/2017
6975,01/08/2017
6975,31/07/2017
